University Name,Established Since,Sector,Chartered By,City,Province,Recognised University
University of Gujrat,2/23/2004,Public,Government of Pakistan,Gujrat,Punjab,Yes
University of Gwadar,9/20/2018,Public,Government of Balochistan,Gawadar,Balochistan,Yes
University of Haripur,9/20/2012,Public,Government of Khyber Pakhtunkhwa,Haripur,Khyber Pakhtunkhwa,Yes
University of Health Sciences,9/28/2002,Public,Government of Punjab,Lahore,Punjab,Yes
"University of Home Economics, Lahore",2/13/2017,Public,Government of Punjab,Lahore,Punjab,Yes
University of Jhang,6/16/2015,Public,Government of Punjab,Jhang,Punjab,Yes
University of Karachi,12/28/1972,Public,Government of Sindh,Karachi,Sindh,Yes
University of Kotli,1/2/2014,Public,Government of AJK,Kotli,Azad Jammu & Kashmir,Yes
University of Lahore,10/2/2002,Private,Government of Punjab,Lahore,Punjab,Yes
University of Lakki Marwat,2/26/2018,Public,Government of Khyber Pakhtunkhwa,Lakki Marwat,Khyber Pakhtunkhwa,Yes
University of Loralai,9/27/2012,Public,Government of Balochistan,Loralai,Balochistan,Yes
University of Malakand,10/27/2001,Public,Government of Khyber Pakhtunkhwa,Malakand,Khyber Pakhtunkhwa,Yes
University of Management & Technology,6/16/2004,Private,Government of Punjab,Lahore,Punjab,Yes
University of Mianwali,12/13/2019,Public,Government of Punjab,Mianwali,Punjab,Yes
"University of Modern Sciences, Tando Muhammad Khan",5/4/2018,Private,Government of Sindh,Tando Muhammad  Khan,Sindh,Yes
University of Narowal,3/20/2018,Public,Government of Punjab,Narowal,Punjab,Yes
University of Okara,2/23/2016,Public,Government of Punjab,Okara,Punjab,Yes
University of Peshawar,6/4/1965,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
University of Poonch,3/25/2014,Public,Government of AJK,Poonch,Azad Jammu & Kashmir,Yes
University of Sahiwal,6/16/2015,Public,Government of Punjab,Sahiwal,Punjab,Yes
University of Sargodha,11/16/2002,Public,Government of Punjab,Sargodha,Punjab,Yes
University of Science & Technology,8/6/2005,Public,Government of Pakistan,Bannu,Khyber Pakhtunkhwa,Yes
"University of Sialkot, Sialkot",3/20/2018,Private,Government of Punjab,Sialkot,Punjab,Yes
University of Sindh,12/28/1972,Public,Government of Sindh,Mirpur Khas,Sindh,Yes
University of South Asia,7/9/2005,Private,Government of Punjab,Lahore,Punjab,Yes
"University of Sufism and Modern Sciences, Bhitshah Sindh",5/22/2019,Public,Government of Sindh,Bhit Shah,Sindh,Yes
University of Swabi,7/3/2012,Public,Government of Pakistan,Swabi,Khyber Pakhtunkhwa,Yes
University of Swabi for Women,1/1/2012,Public,Government of Khyber Pakhtunkhwa,Swabi,Khyber Pakhtunkhwa,Yes
University of Swat,7/7/2010,Public,Government of Khyber Pakhtunkhwa,Swat,Khyber Pakhtunkhwa,Yes
University of the Punjab,5/16/1973,Public,Government of Pakistan,Lahore,Punjab,Yes
University of Turbat,6/28/2012,Public,Government of Balochistan,Turbat,Balochistan,Yes
University of Veterinary & Animal Sciences,6/8/2002,Public,Government of Punjab,Lahore,Punjab,Yes
University of Wah,7/8/2009,Private,Government of Punjab,Rawalpindi,Punjab,Yes
Virtual University of Pakistan,9/11/2002,Public,Government of Pakistan,Lahore,Punjab,Yes
Women University Mardan,1/1/2016,Public,Government of Khyber Pakhtunkhwa,Mardan,Khyber Pakhtunkhwa,Yes
Women University of Azad Jammu & Kashmir,3/25/2014,Public,Government of AJK,Bagh,Azad Jammu & Kashmir,Yes
Zia-ud-Din University,12/13/2005,Private,Government of Sindh,Karachi,Sindh,Yes
